# 人物|所属家ID|立場|父所属不明時の地域|実父照合|判断
Shinmen Sokan|-|浪人|美作国/英田郡|父未確認|英語紹介の作州・宮本村の活動圏を代替に使用。宗貫の表記・1546年の当主身分は未確認で、所属不明の仮設定。
上林政重|-|元服前|丹波国/何鹿郡|上林久重|記事の天文9年と1550年が不整合。1540年なら幼少、1550年なら未誕生のため、幼少相当の保留配置として出仕無効。上林庄の出自を使用。
下間頼亮|-|元服前|摂津国/西成郡|下間頼廉|頼廉の長男で1575年以降に顕尊を補佐。父の世代から未誕生と推定。石山の後年活動圏で代替し出仕年を遡及しない。
二本松晴国|-|浪人|岩代国/安達郡|父未確定（同定諸説）|家泰・村国との異同に議論がある。二本松の地縁で仮配置するが別人・当主と確定せず、年代と所属を保留。
伊岐真利|-|浪人|大和国/添上郡|父未確認|柳生谷居住の紹介を地域の根拠とする。織田・小早川への後年奉公を1546年へ遡及せず所属不明。
六角定治|-|元服前|近江国/蒲生郡|六角高賢|高賢の子・義定の孫という世代から将来用と推定。六角家の近江の本拠圏を代替とし、嫡流論争は保留。
六角義実|-|浪人|近江国/蒲生郡|六角氏綱|江源武鑑等に見えるが実在性に疑義がある。近江の伝承上の地縁だけを仮配置に用い、当主扱いも開始時出仕も認めない。
内藤元忠|-|元服前|長門国/美禰郡|内藤隆春|隆春の次男で兄元家より後の世代として未誕生を推定。林元尚への婿養子入りと実父を区別。長門の後年知行圏を代替。
前野定時|-|元服前|美濃国/羽栗郡|坪内勝定|元台帳の未誕生判定を将来用仮設定として暫定維持。生年の確証はなく父子・長康との続柄に異説がある。旧葉栗松倉の地縁を代替。
前野豊成|-|元服前|尾張国/丹羽郡|前野泰道|1575年出生。泰道の子を照合し前野氏の尾張の出自を代替とする。後年の山内姓から所属を決めない。
加木屋正則|-|元服前|伊勢国/飯高郡|加木屋正次|斎藤正義の孫で、父が1548年の祖父死後に逃れたという伝承から将来用と推定。大河内の家の活動圏を代替。郡村徇行記由来の説で確定ではない。
北条氏成|-|元服前|相模国/鎌倉郡|北条氏繁|氏繁の三男・氏勝の弟という世代から将来用と推定。玉縄の本拠圏を使用し、氏政の子の直重と区別する。
千坂長朝|-|元服前|越後国/*|千坂景親|景親の次男で会津・米沢移封期の活動が知られる。父の世代から未誕生を推定し、家の越後の旧活動圏で代替。
原胤義|-|浪人|下総国/印旛郡|原胤栄|父胤栄と臼井の本拠圏を参照。1590年前後の家督相続・没年異説は1546年所属を示さず、年代保留の仮配置。
唐沢玄蕃|-|浪人|上野国/吾妻郡|唐沢杢之助|沢渡出身の記事を使用。父の斎藤家奉公・1563年離反を本人の1546年所属に移さず、伝承を含む年代を保留。
坂崎成政|-|元服前|肥後国/飽田郡|城清助（未同定）|1587年に父清助と人質となり養育された経歴から将来用と推定。隈本の地縁で代替し、岡田・坂崎の養父から所属を継承しない。
埴原八蔵|-|元服前|摂津国/西成郡|埴原次郎右衛門（未同定）|秀頼の小姓で父は秀吉の馬廻という世代から将来用と推定。生年は不明のまま、大坂の後年活動圏で代替。
大内高弘|-|浪人|豊後国/大分郡|大内政弘|1499年以降に豊後の大友氏へ亡命した地縁を代替。1546年までの存命・客将身分は確認できず所属不明、出仕保留。
大崎勝長|-|元服前|尾張国/中島郡|服部一忠|一忠の子で後年大崎長行の養子という紹介から将来用と推定。記事の年代・系譜の精度に留保し、尾張の後年知行を代替に使用。
太田景資|-|浪人|武蔵国/荏原郡|太田資高|資高の庶長子で後年に目黒本村を領した記事を地縁の根拠とする。1546年の奉公は確定せず所属不明。
宍戸元可|-|元服前|安芸国/高田郡|宍戸元秀|元秀の六男という世代から将来用。安芸の宍戸家の本拠圏を代替とし、切腹記事から生没年を創作しない。
