# 名前|1546年所属家|ゲーム立場|参照郡|父照合|個別判断
一色政煕|-|浪人|越前国/*|-|1460年の越前野田本郷代官の記事を地縁の参考にする。15世紀の人物で1546年の所属は認定せず、郡の細部は代替設定。
三浦高救|-|浪人|相模国/三浦郡|-|三浦氏当主・1499年以後没の紹介を参照。1546年存命の根拠がなく、三浦の生前本拠を参照配置とする。
久松定益|-|浪人|尾張国/知多郡|-|1510年没と阿久比の洞雲院墓所を参照。知多の参照配置であり、1546年の浪人として登場させない。
今井信乂|-|浪人|甲斐国/山梨郡周辺（仮1）|-|1494年敗死の府中今井氏。甲府周辺を参照配置。山梨郡の仮区画の選択はゲーム上の代替で居館の確定ではない。
今泉盛泰|-|浪人|下野国/河内郡|-|上三川城主、1477年川曲の戦いで戦死。上三川の地縁を現行河内郡へ対応させた生前本拠の参照配置。
今泉盛高|-|浪人|下野国/河内郡|-|上三川城主、1523年没の紹介に従い故人扱いを維持。上三川を基準とする参照配置。
伊藤信恒|-|浪人|石見国/鹿足郡|-|吉見氏家臣で1536年没。石見吉見氏の津和野本拠圏を代替地域にするが、本人の居住郡の証明とはしない。
伊藤祐重|-|浪人|美濃国/池田郡|-|美濃舟岡の地縁と1542年大桑での敗死記事を参照。開始時所属は不明を維持し、生前活動圏の参照配置とする。
六角義介|-|浪人|近江国/蒲生郡|-|既存評価の親子関係・年代矛盾と六角義治との異同保留を継承。近江六角氏圏を便宜上の参照地域とし、所属・実在性を確定しない。
内藤元康|-|浪人|安芸国/高田郡|-|1532年毛利家臣連署起請文の署名者、1534年没。毛利本拠圏を生前活動の代替郡として参照する。
前野時正|-|浪人|尾張国/丹羽郡|-|前野村八屋敷の地縁と1484年没の紹介を参照。前野家伝の信頼性留保を残し、現役の織田家臣に組み込まない。
前野長義|-|浪人|尾張国/丹羽郡|-|前野村出身、1512年没。織田伊勢守家への奉公は生前の参考情報とし、1546年の所属へ持ち越さない。
千葉興常|-|浪人|肥前国/小城郡|-|肥前千葉氏・小城祇園城の地縁。1532年または1540年没の説があり、1546年の所属は認定しない。
大井光照|-|浪人|信濃国/北佐久郡|-|1471年頃の岩尾大井氏の城主としての紹介を参照。佐久の地縁のみ採用し、1546年の存命・所属は保留。
大井安房丸|-|浪人|信濃国/北佐久郡|-|1484年に19歳とされる佐久大井氏の人物。1546年存命を認定せず、佐久の参照郡を設定。
大井玄慶|-|浪人|信濃国/北佐久郡|-|1493年の大井氏再興に関する記事を参照。佐久の生前活動圏を参照配置とし、後代の大井氏所属を推定しない。
大井行真|-|浪人|信濃国/北佐久郡|-|岩尾城主、1539年没。岩尾の地縁を北佐久郡に対応させる。故人の参照情報として保持。
大道寺重時|-|浪人|伊豆国/田方郡|-|伊勢宗瑞の伊豆平定・政務補佐の紹介を参照。伊豆の活動圏を代替郡にし、本人の居住位置や1546年所属を認定しない。
太田垣誠朝|-|浪人|但馬国/朝来郡|-|1441年嘉吉の乱頃の但馬太田垣氏・竹田の地縁。後代の山名家所属を前倒しせず参照配置のみ設定。
宇佐美房忠|-|浪人|越後国/刈羽郡|-|琵琶島城主、1514年没。柏崎の生前本拠に基づく参照配置。
安東家政|-|浪人|陸奥国/東津軽郡|-|蝦夷茂別の地縁、1495年または1501年没の紹介。蝦夷地が現行地図に未収録のため津軽側の参照用代替郡。安東氏領と認定しない。
宗晴康|so|大名|肥前国/北松浦郡|-|1539年に宗家を継承、1546年は当主として大名。対馬が現行地図に未収録のため北松浦郡は参照用代替。宗家領ではなく開始時配属を行わない。
宗義智|-|元服前|肥前国/北松浦郡|宗将盛|1568年生。父宗将盛が人物表に未登録のため所属不明。対馬が現行地図に未収録のため北松浦郡を将来用の代替配置とし宗家領と認定しない。
宗義調|so|大名家一門|肥前国/北松浦郡|-|1532年生だが1542年の偏諱・元服記事を採用し元服前から一門へ変更。家督は1553年で1546年は当主ではない。対馬未収録のため北松浦郡は参照用代替で宗家領と認定しない。
富樫国定|-|浪人|越前国/坂井郡|-|富樫氏の系譜・応仁期の記事を参照。1546年の存命と家中は不明。丸岡に関連する同族圏を代替にし本人の居所と断定しない。
富樫基光|-|浪人|越前国/坂井郡|-|応仁の乱期と越前丸岡の地縁を参照。1546年の家中を認定せず生前活動圏の参照配置。
富樫基定|-|浪人|越前国/坂井郡|-|坪内氏祖系譜に関連する富樫氏の紹介を参照。越前同族圏を代替配置とし、1546年の存命・所属は保留。
富樫泰高|-|浪人|加賀国/石川郡|-|1418年生・1441年の家督継承など15世紀の活動記事。加賀の本拠圏を参照するのみで1546年の大名にしない。
