# 名前|所属家ID（-は不明）|立場|配置地域（家のプール使用時は-）|根拠・留保
豊臣秀吉|-|元服前|尾張国/愛知郡|中村出生の紹介を位置根拠とする。1546年は幼少。松下氏・織田氏への後年の出仕を遡及しない。
豊臣秀長|-|元服前|尾張国/愛知郡|1540年中村出生。父の同定には異説があり、父の推定奉公先を本人の所属に固定しない。
明智光秀|-|浪人|美濃国/可児郡|明智荘・明智城の出生伝承をゲーム位置に採用。出生地・前半生は異説があり、1546年の朝倉家・斎藤家所属は確定できない。
滝川一益|-|浪人|近江国/甲賀郡|甲賀郡大原の出自説を位置根拠に採用。織田信長への仕官時期は確定せず、甲賀出身だけで六角家臣とも判定しない。
板倉勝重|matsudaira|元服前|-|1545年生。父・板倉好重の松平家奉公を家族単位のゲーム所属に用いる。勝重自身の出仕開始ではない。
堀尾吉晴|oda_iwakura|元服前|-|1543年御供所村出生。父泰晴と織田信安に仕えた記事から岩倉家中の家族として暫定配置。本人の奉公は元服後であり、1546年の実勤務を意味しない。
本庄繁長|honjo_echigo|元服前|-|本庄房長の子で小泉荘の本庄氏。小川長資が実権を握り、繁長が奪還するのは1551年。出生・父没年の伝承に矛盾があり、幼少の一門として配置し当主出仕にはしない。
山中幸盛|amago|元服前|-|1545年出雲富田庄出生と山中氏の尼子家奉公を家族配置に採用。本人の軍功・出仕は後年。
清水宗治|-|元服前|備中国/賀陽郡|1537年賀陽郡清水村出生の紹介を採用。三村家奉公・石川氏との婚姻の時期を1546年へ遡らせない。
中川清秀|-|元服前|摂津国/島下郡|1542年島下郡福井村出生説を採用。山城出生説もあり、池田家奉公開始年は不明。
安国寺恵瓊|-|元服前|安芸国/沼田郡|安芸武田氏滅亡後、不動院で出家した幼少期を位置根拠にする。旧佐東郡は現在の郡台帳と一致しないため沼田郡を地域内のゲーム代替とする。居住郡の確定ではない。
小山田信茂|oyamada_gunnai|元服前|-|郡内小山田信有の子。紹介の1539・1540年説と既存出生台帳の1545年は不一致だが、いずれも1546年は幼少。都留郡の小山田家に家族配置し、生年の修正は別件とする。
荒木村重|-|元服前|摂津国/豊島郡|摂津池田を前半生の地縁として採用。池田勝正への奉公・婚姻は年次不詳で、1546年所属に確定しない。
前田玄以|-|元服前|美濃国/*|美濃出身・仏門入りの記事から国単位の候補を採用。寺院・出家時期の異説があり、具体的な郡はゲーム抽選。
増田長盛|-|元服前|尾張国/中島郡|尾張中島郡出生説を採用し、近江浅井郡説も留保。1545・1546年の生年差は開始時点の前後未確定として残す。
前田利益|-|元服前|尾張国/愛知郡|前田利久の養子となった時期が不明。荒子の前田氏との地縁のみ位置に使い、既存1533年説に基づき元服前とする。出自・生年異説を残す。
諏訪頼忠|suwa_shrine|元服前|-|1542年から諏訪大社大祝とする記事を採用。幼少の宗教職就任は武将の出仕と区別し、諏訪の祭祀家として配置する。
