# 名前|所属家（-は不明）|立場|地域|父の登録名（-は照合候補なし）|判断・留保
ヤジロウ|-|浪人|薩摩国/頴娃郡|-|1546年山川から渡航したとする紹介を位置根拠に採用。出自は薩摩・大隅の両説。海事・交易に関わる人物を5分類では浪人とし、開始日と渡航の前後は保留。
中山勝政|uragami|武将|-|-|1540年代後半～1550年代の中山備中守勝政の書状と備前沼城での浦上氏との関係を参照。1546年の家臣所属は近接時期からの暫定採用。軍記の信正という名との異同を残す。
中山田泰吉|-|元服前|土佐国/香美郡|香宗我部秀通|香宗我部秀通の子で土佐香美の地縁を採用。紹介1540年と台帳1544年の差はあるが双方とも幼少。父が人物表にない場合は長宗我部家へ遡及所属させない。
乾和信|-|元服前|美濃国/池田郡|乾和宜|1544年美濃出生、乾氏の池田郡東野村を位置根拠とする。山内一豊への正式奉公は1578年であり幼少期へ遡及しない。
佐久間信辰|-|元服前|尾張国/愛知郡|佐久間信晴|佐久間信盛の弟で、1560年善照寺砦の活動が分かる。尾張の地縁を位置に採用するが、兄の所属だけでは本人の1546年所属を決めない。
保土原行藤|-|元服前|岩代国/岩瀬郡|-|二階堂氏庶流で岩瀬郡保土原に住した一族の地縁を採用。本人の確かな二階堂方の活動は1560年以降。父の所属を確認できないため家は不明。
冷泉為純|-|浪人|山城国/愛宕郡周辺（仮）|冷泉為豊|1538年叙爵する公家。5分類では浪人とし、京都を仮配置先とする。播磨細川荘への下向の開始年は不明で、後年の武家への協力を所属にしない。
初鹿野忠次|-|元服前|甲斐国/都留郡周辺（仮1）|初鹿野伝右衛門|1533年生、父が1548年上田原で戦死して家督相続。初鹿野氏の都留郡という紹介を現行仮区画で表す。父未登録の場合、所属は不明のまま。
千本義隆|-|元服前|下野国/芳賀郡|-|茂木氏出生とする系譜を茂木付近への位置根拠に用いる。治清・治泰・治房など父や初名の比定に不一致があり、千本氏への養子時期も不明。
千秋季忠|oda_nobuhide|元服前|-|千秋季光|父季光・兄季直の死後、熱田大宮司職と家督を継いだとする紹介から、織田信秀と結ぶ熱田千秋氏として暫定所属。宗教職の幼少継承を軍事出仕とは扱わない。
和田信維|-|元服前|近江国/甲賀郡|-|1535年甲賀郡和田出生を位置根拠にする。信長への奉公・黒田城主化は1574年で、1546年へ遡及しない。
品川将員|-|元服前|石見国/美濃郡|品川員永|父員永が石見益田氏に仕えたという紹介の地縁を採用。父が人物表にない場合、所属は不明。別人の品川将員や一騎討ちの伝承を混同しない。
多功綱継|-|元服前|下野国/河内郡|多功房朝|1543年生、多功房朝の子として多功城周辺を位置根拠にする。父が人物表で宇都宮家所属と決まっている場合、そのゲーム所属を引き継ぐ。
多功長朝|utsunomiya|武将|-|-|宇都宮氏庶流の多功城主で代々重臣。1549年五月女坂合戦の先陣記事を近接時期の根拠として1546年にも宇都宮家武将と暫定設定。
大井行吉|-|元服前|信濃国/北佐久郡|大井行頼|1542年岩尾城出生、1556年元服。父の武田出仕を1551年とする紹介を留保しつつ、登録済みの父の所属をユーザー指定の家族ゲーム設定として引き継ぐ場合は史実の遡及認定と区別する。
大田原綱清|-|元服前|下野国/那須郡|大田原資清|1538年大田原資清の子、1549年初陣・1560年相続。大田原の本拠圏へ配置し、父未登録なら所属不明を維持。
小梁川盛宗 (戦国時代)|-|浪人|羽前国/東置賜郡|-|1523年生の小梁川親宗の子と高畠の地縁を採用。同名の室町期の祖とは別人。伊達晴宗への奉公・婚姻・高畠入城の開始年が不明なので1546年の所属は確定しない。
小田切茂富|-|元服前|甲斐国/*|小田切昌成|寛政重修諸家譜の父小田切昌成・馬場氏との縁戚記事から甲斐の地縁を採用。本人の確かな文書は1578年で、具体郡と幼少期の所属は不明。
小笠原康広|-|元服前|相模国/足柄下郡|小笠原元続|1531年小笠原元続の子。小田原での活動を位置のみに採用。元服・婚姻の年が不明なので15歳前後の初期段階を元服前に仮置きし、後年の準一門待遇を遡及しない。
小里光明|-|元服前|美濃国/土岐郡|小里光忠|小里光忠の子、小里城の地縁を採用。父子の織田側での活動は後年の記録で、父が登録されていなければ所属不明を維持。
山口直友|-|元服前|丹波国/氷上郡|山口直之|父を丹波赤井氏出身とする系譜を位置根拠に採用。信濃への移動時期は不明、家康奉公は1585年で、1546年の赤井家所属を確定しない。
山岡景友|-|元服前|近江国/栗太郡|山岡景之|1540年六角家臣山岡景之の子として出生。勢多の地縁に配置する。父が人物表にない場合は所属不明。後年の将軍家奉公と光浄院住持を幼少期に付さない。
岡本頼氏|-|元服前|肥後国/球摩郡|岩本隆吉|1537年岩本隆吉の子、1555年初陣。球磨の原田岩本の家伝を位置根拠にし、改姓・島津軍への参加は後年として区別。
岡田重善|oda_nobuhide|武将|-|-|織田信秀家臣として小豆坂の戦いに参加した紹介を採用。七本槍の記事は伝承を含むため留保するが、信長家臣歴だけを遡及する判断ではない。
島津忠康|-|元服前|日向国/児湯郡|島津勝久|島津勝久の子で、7歳頃に日向伊東義祐を頼ったとする紹介を位置根拠にする。庇護と正式奉公は別。出生家名だけで貴久の島津家に所属させない。
新庄直忠|-|元服前|近江国/坂田郡|新庄直昌|1542年朝妻城主新庄直昌の次男として出生。父の1549年戦死後の将軍奉公記事には年代疑問もあり、1546年の所属は父台帳で確認できる場合のみ引き継ぐ。
日置忠勝|-|元服前|尾張国/*|日置真斎|1542年日置真斎の子、尾張出身の紹介を位置根拠にする。池田恒興からの大垣・尾浦の知行は1583年で、幼少期の所属には使わない。
木幡高清|-|元服前|磐城国/行方郡|-|木幡懿清の子で相馬家の木幡氏の地縁を採用。父の人物ID・所属を確定できず家は不明。後年相馬中村藩での地位を幼少期に遡及しない。
松平信一|-|元服前|三河国/碧海郡|松平利長|藤井松平家の利長の子として藤井の地縁へ配置。本人の活動は1558年以降。父未登録なら、松平という姓だけで安祥松平家所属にしない。
松平元心|matsudaira_goi|大名|-|-|五井松平家忠景の子で五井松平家当主。長親に従った深溝城攻略の家伝と五井の地縁を採用。城攻略年や高齢の年代幅には留保。
松平忠正|-|元服前|三河国/碧海郡|松平家次|桜井松平家次の子。桜井家は安祥家と対立した経緯があり、同姓だけで家康の家にまとめない。父未登録なら所属不明で桜井周辺へ配置。
松平重吉|matsudaira_nomi|大名|-|-|能見松平家の当主として能見の本拠圏に配置。後年の家康指揮下での軍功と家中単位を区別。生年・享年の差は原台帳の留保を維持。
松波義親|-|浪人|能登国/珠洲郡|-|松波城の地縁を採用。1527年出生説と畠山義綱の子という系譜は世代が整合せず、天正期の名跡継承を1546年へ遡及しない。
森迫親正|-|元服前|豊後国/*|森迫鎮富|1535年森迫鎮富の子とする紹介を参照。豊後を出自候補とするが父未登録の場合は所属不明。1551年の戦死記事は後世の歌人伝承を含む。
植村家存|-|元服前|三河国/額田郡|植村氏明|1541年生、1549年から家康に奉公。父植村氏明が登録済みで松平家所属なら、未出仕の家族として同じ所属にする。
植村正勝|-|元服前|三河国/*|-|幼少から家康に仕えたという紹介だが具体年次は1552年以降。父の登録上の所属が確認できないので不明を維持し、三河をゲーム位置に採用。
植村泰忠|-|元服前|三河国/南設楽郡|植村泰基|幼くして父を失い鳳来寺の教円に育てられた紹介を位置根拠にする。僧兵としての家康への加勢と還俗は1573年以後。
横山長隆|-|元服前|美濃国/多芸郡|横山時隆|1539年多芸郡国人の子。出生圏を採用し、杉氏への婿養子・稲葉氏奉公・越前移住の時期は1546年に固定しない。
毛利広盛|-|元服前|美濃国/羽栗郡|毛利広包|八神毛利氏の地縁を採用。1537年信秀書状の広盛は父の誤記か代参の可能性があり、幼少本人の奉公根拠にしない。安芸毛利氏とは別系統。
水谷勝俊|-|元服前|常陸国/真壁郡|水谷治持|1542年水谷治持の次男として出生。下館の地縁に配置し、父の登録所属がなければ不明。兄の隠居による継承は1569年。
水谷胤重|-|元服前|磐城国/行方郡|水谷胤氏|父が伊達との戦いで戦死し叔父に養育された紹介から相馬地域に配置。下館水谷氏とは別家系。父未登録・所属不明なら家を設定しない。
水野忠分|-|元服前|尾張国/知多郡|水野忠政|水野忠政の子と布土城の地縁を採用。天文期の城主記事には時期の幅があり、1537年生の幼少本人を当主出仕させない。
水野正重|-|元服前|尾張国/知多郡|水野清信|1545年水野清信の子として出生。水野一族の地縁へ仮配置するが、1560年水野信元配下での参戦を1546年の所属にしない。
水野義純|-|浪人|山城国/愛宕郡周辺（仮）|-|系図纂要が伝える足利義視の子という説から京都を代替地域に採用。系譜・在住時期は未確定であり、水野という姓から尾張水野家へ結び付けない。
池田知正|-|元服前|摂津国/豊島郡|池田長正|1544年池田長正の子として出生。今回父の所属を池田家と設定できる場合は同じ家にする。1570年の当主擁立を遡及しない。
池田長正|ikeda_settsu|大名家一門|-|-|池田信正の子。父の死と家督相続は1548年なので1546年は当主ではなく池田家一門とする。三好氏への後年従属を遡及しない。
河崎祐長|-|元服前|日向国/南那珂郡|-|日向河崎氏の地縁と後年の目井城主の記事から位置を採用。姉の伊東氏への婚姻や本人の城主就任の年次が未確定で、所属は不明。
浜尾行泰|-|元服前|岩代国/岩瀬郡|浜尾儀泰|1542年浜尾儀泰の子。新田・今泉・須賀川の地縁を採用。1589年伊達帰属を幼少期へ遡及しない。
渡辺長|mori|元服前|-|渡辺通 (武将)|1543年父が毛利元就の身代わりに戦死し、家督を継いで元就に仕えた紹介を採用。1548年にも元服前と明記されるため、1546年は元服前の毛利家臣家当主として出仕無効。
瀬名信輝|-|元服前|駿河国/安倍郡|瀬名氏俊|1544年瀬名氏俊の長男。駿河瀬名の地縁に配置し、父未登録なら所属不明。1568年の武田帰属・改名は遡及しない。
石井忠修|-|元服前|肥前国/佐賀郡|石井忠次|1543年龍造寺家臣石井忠次の子。父が人物表にいなければ所属不明で佐賀に配置。紹介の永禄6年と1565年の不一致は出仕開始の証拠に使わない。
竹内久盛|-|浪人|美作国/久米北条郡|-|垪和庄の出自と1532年修行の家伝を位置根拠とする。武術家を浪人へ分類。伝承の領主規模や後年の宇喜多・別所との関係を1546年の所属にしない。
細野藤敦|-|元服前|伊勢国/安濃郡|細野藤光|1541年細野藤光の子として安濃城付近へ配置。長野工藤氏庶流というだけでは父未登録の本人の所属を確定しない。
船越景直|-|元服前|阿波国/*|船越景綸|父子の細川・安宅・三好への奉公の紹介から阿波の活動圏を代替地域に採用。出生地と奉公開始年は未確定であり、具体郡はゲーム抽選。
芋川親正|-|元服前|信濃国/上水内郡|芋川正章|1539年生、飯綱の芋川氏の地縁に配置。父が信玄の侵攻で降った年を1546年と決め打ちせず、父未登録なら所属不明。
荒木元清|-|元服前|摂津国/八部郡|-|花隈城での後年の活動地をゲーム代替位置とする。幼少期の居住根拠ではなく、村重への奉公や城主比定も留保。
西郷清員|-|元服前|三河国/八名郡|西郷正勝|八名郡月ヶ瀬城主西郷正勝の子。家康への奉公は1561年の転属以後で、1546年に遡及しない。父未登録なら所属不明。
諏訪部定勝|-|元服前|武蔵国/秩父郡|-|日尾城の地縁を後年記録からの仮配置に採用。北条氏邦奉公と酒に関する逸話は幼少期の所属・立場を裏付けない。
足利義助|-|元服前|阿波国/那賀郡|足利義維|1541年平島で足利義維の子として出生。父が登録されていれば同じ家を引き継ぎ、いなければ不明。兄義栄の家名だけでは所属を設定しない。
足利頼純|-|元服前|安房国/長狭郡|-|父義明が1538年に戦死後、里見氏の庇護下で石堂寺に預けられた紹介を採用。現行区画では長狭郡を安房内の代替配置に使用。庇護を里見家正式奉公としない。
跡部昌忠|-|元服前|甲斐国/*|跡部勝忠|1544年跡部勝忠の子。父の所属が決まった場合だけ引き継ぐ。同名の修理亮昌忠と混同しない。
遠山景任|-|元服前|美濃国/恵那郡|-|岩村遠山氏の地縁を位置根拠とする。1537年出生説で幼少。後年の武田・織田との関係を1546年所属に繰り上げない。
都築秀綱|-|元服前|遠江国/引佐郡|-|松下為雲の子から都筑秀景の養子となった紹介を参照。養子時期不明のため父を一人に確定せず、都筑の地縁のみ位置に使う。
青山吉次|-|元服前|尾張国/*|青山信昌|1542年尾張出生、15歳で信長に仕えた紹介から、1546年は未出仕。父の登録所属がなければ不明のままとし、尾張内で配置。
飯尾尚清|-|浪人|尾張国/丹羽郡|-|父飯尾定宗と尾張飯尾氏の地縁を岩倉付近の仮配置に採用。信秀娘との婚姻・信長への奉公開始年は不明。遠江の飯尾氏と同姓で結び付けない。
香川春継|-|元服前|安芸国/高宮郡|香川光景|1545年香川光景の子。安芸武田氏旧臣の香川氏の地縁へ配置。讃岐香川氏と混同せず、父未登録なら毛利所属も不明とする。
馬場職家|-|元服前|備前国/邑久郡|-|備前邑久郡北地村の居住記事を位置根拠とする。初期主君は浮田国定で、宇喜多直家に仕えるのは1556年以後。1546年の奉公開始は不明。
高木広正|-|元服前|三河国/碧海郡|高木重正|三河高木の土豪で高木重正の子。1558年以後の松平元康配下での活動を幼少期に遡及しない。
中条景資|-|元服前|越後国/北蒲原郡|中条藤資|中条藤資の子で、相続は1568年。登録済み父の1546年所属を引き継ぐ場合も、後年の謙信の上杉家と越後守護上杉家を区別する。
五代友喜|-|元服前|薩摩国/薩摩郡|-|新田八幡宮社家・五代氏の出自を川内方面の位置根拠に採用。1564年の義弘への随行から1546年の奉公を推定しない。
内田実久|-|元服前|周防国/*|-|1559年に秋月種実を迎えた内田壱岐守との関係から周防を代替地域とする。兄弟か同一人かに異説があり、幼少時の場所・主君は確定しない。
国分盛廉|-|元服前|陸前国/宮城郡|国分盛氏|後世の平姓国分系図に記された盛氏の子としてのゲーム配置。登録父の所属を引き継ぐ場合も実在性の疑問は解消せず、出仕無効を維持。
柿並幸慶|-|元服前|周防国/*|柿並隆正|1544年大内庶流柿並隆正の子。1555年父戦死後の相続・1557年以後の毛利奉公は遡及しない。父未登録なら所属不明。
