# 人物|実父の照合名|父所属不明時の代替地域|採用根拠・留保
平野長泰|平野長治|河内国/*|父長治の子という記事を採用。出生地域を確定できないため、1583年の河内知行を後年の地縁として代用する。
後藤信康|湯目重弘|羽前国/南置賜郡|長井郡洲島城の出生地縁を採用。実父湯目重弘と養父後藤信家を区別する。
後藤基次|後藤基国|播磨国/神東郡|神東郡山田村出生説を採用。出生には諸説があり、黒田家への後年奉公は遡及しない。
徳川秀忠|徳川家康|遠江国/敷智郡|実父徳川家康を照合。浜松の出生地縁は父所属不明時の代替とし、後年の将軍身分を遡及しない。
成富茂安|成富信種|肥前国/佐賀郡|佐賀の増田の出生地縁を採用。父の主君表記から登録済み所属を改変しない。
支倉常長|山口常成|羽前国/南置賜郡|立石の出生記事を採用。実父山口常成と養父支倉時正を区別し、養家の柴田郡とは切り分ける。
斎藤龍興|斎藤義龍|美濃国/厚見郡|父義龍を照合。稲葉山周辺の本拠を代替とし、1547・1548年の出生異説を保持する。
新発田重家|新発田綱貞|越後国/北蒲原郡|新発田氏の本拠を代替とする。実父綱貞と養父五十公野弘家を区別。
明石全登|明石行雄|備前国/和気郡|保木城の家の地縁を採用。生年不詳で1569年前後説があり、元台帳の未誕生判定を維持するが出生年が確定した扱いにはしない。父景親の別名と他の明石氏を区別。
最上家親|最上義光|羽前国/南村山郡|父義光と山形の家の本拠を照合。後年の徳川家への近侍は遡及しない。
最上義康|最上義光|羽前国/南村山郡|山形城出生の地縁と父義光の登録を照合する。
有馬晴信|有馬義貞|肥前国/南高来郡|肥前有馬氏の本拠圏を代替とする。1561・1567年など生年の異説は保持。
有馬直純|有馬晴信|肥前国/南高来郡|日野江城出生の記事を採用。父晴信も今回対象のため父の照合後に所属を解決する。
有馬豊氏|有馬則頼|播磨国/美嚢郡|三木の三津田城出生を根拠とする。肥前有馬氏と摂津有馬氏を混同しない。
服部正重|服部正成|遠江国/敷智郡|父正成を照合。浜松・岡崎の出生説のうち浜松を代替として採用し、出生地を確定しない。
木下利房|木下家定|尾張国/*|若狭出生記事はあるが現行地図に若狭の郡がないため、木下家の尾張の出自を代替にする。若狭を他国と同一視しない。
木下勝俊|木下家定|尾張国/*|家定の長男とする人物紹介を採用。武田元明の子という異説は記事内でも批判があり別記留保。木下家の尾張の地縁を代替とする。
木下延俊|木下家定|尾張国/*|尾張出生の記事を採用。後年の日出入封は遡及しない。
本多俊次|本多康俊|下総国/*|下総小篠出生の記事を採用。小篠と現行郡の対応を確定できないため下総内の代替郡とする。
本多富正|本多重富|三河国/*|三河出生の記事を採用。父重富が登録・所属不明なら同姓の本多家から所属を補わない。
本多康俊|酒井忠次|三河国/*|実父酒井忠次を照合。養父本多忠次の所属を自動採用しない。三河の家の地縁を代替とする。
本多康重|本多広孝|三河国/渥美郡|父広孝を照合。後年の田原の家の本拠を代替に用い、出生地とは断定しない。
本多忠刻|本多忠政|上総国/夷隅郡|父忠政を照合。大多喜の家の本拠を代替とし、後年の姫路移転とは区別する。
本多忠勝|本多忠高|三河国/額田郡|忠高の長子、西蔵前出生を人物紹介と岡崎市観光協会の解説で照合。1548年出生のため1546年には登場させない。
本多忠政|本多忠勝|遠江国/敷智郡|父忠勝も今回対象。浜松の家の活動圏を代替とし、本人の出生郡の確定とはしない。
