# 人物|実父の照合名|父所属不明時の代替地域|採用根拠・留保
相良頼房|相良義陽|肥後国/球摩郡|実父義陽を照合し、系図上の義父忠房とは区別。人吉の家の本拠を代替配置とする。
真田信吉|真田信之|上野国/利根郡|父信之を照合。後年の沼田の本拠を代替に用いる。1593・1595・1596年の出生異説は保持する。
真田信尹|真田幸隆|信濃国/小県郡|父幸綱は人物表の幸隆と同一人物として照合。養父加津野昌世と区別し、真田の本拠圏を代替とする。出生年の異説は保持。
真田信政|真田信之|上野国/利根郡|実父信之を照合。沼田での後年の活動圏を代替とし、本人の出生郡とは断定しない。
真田信繁|真田昌幸|信濃国/小県郡|実父昌幸を照合。真田の本拠を代替とし、父の武藤姓時代と区別。1567・1570年の出生異説は保持。
矢沢頼康|矢沢頼綱|信濃国/小県郡|実父頼綱と矢沢城周辺の家の地縁を照合。後年の沼田城代身分を開始時に遡及しない。
石川康長|石川数正|三河国/*|実父数正を照合。三河の家の出自を代替に用い、後年の松本領有を遡及しない。
石川忠総|大久保忠隣|三河国/額田郡|実父大久保忠隣を照合し、養父石川家成と区別。上和田の家の地縁を代替とする。
石田三成|石田正継|近江国/坂田郡|石田村の出生地縁と実父正継を照合。長浜市の博物館事業資料も参照し、後年の豊臣奉公を遡及しない。
福島正則|父未確定（諸説）|尾張国/海東郡|父は正信を実父とする説と星野成政を実父とする説があるため継承を保留。二ツ寺村出生説を代替に採用し、史実確定とはしない。
秋元泰朝|秋元長朝|上野国/*|実父長朝を照合。上野の秋元氏の活動圏を代替とし、本人の出生郡の確定とはしない。
秋月種長|秋月種実|筑前国/夜須郡|実父種実と秋月の家の本拠を照合。後年の日向高鍋移封は遡及しない。
秋田実季|安東愛季|羽後国/南秋田郡|実父愛季を照合。湊安東氏・秋田の本拠圏を代替とし、後年の常陸入封は遡及しない。
稲葉一通|稲葉典通|美濃国/安八郡|父典通も今回対象として照合。美濃の稲葉家の本拠圏を代替とし、本人の出生郡とは断定しない。
稲葉典通|稲葉貞通|美濃国/安八郡|実父貞通を照合。美濃の家の本拠圏を代替に用い、織田・豊臣への後年奉公を遡及しない。
稲葉正勝|稲葉正成|美濃国/*|父正成を照合。美濃の林・稲葉氏の地縁を代替とし、母春日局の奉公先から所属を与えない。
