# 人物|立場|実父照合名|父所属不明時の地域|判断
三宅正次|元服前|三宅政貞|三河国/*|紹介記事は1560年出生。政貞の子を照合し三河の家の地縁を代替とする。元台帳の生年欠落は保持。
中西元如|元服前|父未確定（諸説）|大和国/*|紹介記事は1554年出生。実父に中西元重・馬場信春説があるため所属継承は保留。中西庄を含む大和の地縁を代替に用いる。
乃美景継|元服前|乃美宗勝|安芸国/豊田郡|紹介記事は1562年出生。実父宗勝を照合し浦宗勝の活動圏を代替とする。
今田長佳|元服前|今田経高|安芸国/山縣郡|紹介記事は1562年出生。実父経高と吉川家中の地縁を照合。安芸の本拠圏を代替とする。
伊達宗利|元服前|伊達秀宗|伊予国/北宇和郡|実父秀宗を照合。宇和島の家の本拠を代替に用い、1635年出生者を1546年に登場させない。
伊達宗勝|元服前|伊達政宗|陸前国/宮城郡|実父政宗を照合。仙台の家の本拠を代替とし、後年の一関領有を遡及しない。
伊達宗重|元服前|伊達定宗|陸前国/遠田郡|実父定宗と涌谷の家の地縁を照合。養父天童重頼からは所属を継承しない。
伴盛兼|元服前|伴資盛|近江国/*|1547年出生。実父資盛を照合。父の代まで近江に住み足利将軍家に仕えた記事を地域の根拠に用い、本人の後年の徳川奉公を遡及しない。
依田信政|元服前|依田信幸|信濃国/北佐久郡|1570年出生。実父信幸を照合し佐久郡芦田を本拠とした依田氏の地縁を代替とする。
児玉景唯|元服前|児玉元良|安芸国/*|紹介記事は1566年出生。実父元良を照合。毛利家中の安芸の地縁を代替とする。
内藤元家|元服前|内藤隆春|長門国/*|紹介記事は1581年出生。実父隆春を照合し長門の家の本拠圏を代替とする。
別所長治|元服前|別所安治|播磨国/美嚢郡|1555・1558年の出生説はいずれも開始年より後。実父安治を照合し三木の地縁を代替とする。
前野三七郎|元服前|前野忠康|尾張国/丹羽郡|紹介記事は1587年出生。実父忠康を照合。前野氏の尾張の出自を代替とし本人の出生郡とは断定しない。
千賀信親|元服前|林秀貞|尾張国/*|紹介記事は1580年出生。実父林秀貞と養父千賀重親を区別。尾張の家の活動圏を代替とする。
坂本貞吉|元服前|坂本貞次|三河国/*|紹介記事は1557年出生。実父貞次を照合。三河の家の地縁を代替とする。
堀直定|元服前|堀直次|越後国/岩舩郡|実父直次を照合。村上の家の本拠圏を代替とし、1636年出生者を開始時に登場させない。
宇喜多秀家|元服前|宇喜多直家|備前国/御野郡|紹介記事は1572年出生。岡山城出生の可能性を地域の代替根拠とし、実父直家を照合。
山内真次|元服前|山内真忠|遠江国/城東郡|1554年出生。実父真忠を照合し遠江城東郡西方出身の記事を採用。同姓の土佐山内家とは結び付けない。
島津忠朗|元服前|島津忠恒|薩摩国/*|父の家久は忠恒の改名後の名。貴久の子の家久と区別し薩摩の家の本拠を代替とする。
服部正就|元服前|服部正成|遠江国/敷智郡|紹介記事は1576年出生。実父正成を照合し浜松の家の活動圏を代替とする。
朝比奈宗利|元服前|朝比奈信置|駿河国/*|紹介記事は1563年出生。実父信置を照合。駿河の家の地縁を代替とし後年の主君から所属を補わない。
村上元武|元服前|村上元吉|伊予国/越智郡|紹介記事は1595年出生。能島村上氏の実父元吉を照合し芸予の島嶼の家の地縁を代替とする。
松平康元|元服前|久松俊勝|尾張国/知多郡|紹介記事は1552年出生。阿古居城の出生地縁を採用。実父俊勝を照合し異父兄家康から直接継承しない。
松平忠利|元服前|松平重忠（三木家・未同定）|三河国/額田郡|紹介記事は1582年出生。父は三木松平家の重忠で、同名の他家と接続しない。三木の地縁を代替とする。
松平直良|元服前|結城秀康|越前国/足羽郡|実父秀康を照合。北庄の家の本拠を代替とし後年の大野領有を遡及しない。
板倉重矩|元服前|板倉重昌|三河国/*|実父重昌を照合。三河の板倉氏の出自を代替とし本人の出生郡とは断定しない。
柳生清厳|元服前|柳生利厳|尾張国/愛知郡|父利厳を照合。尾張柳生家の名古屋の活動圏を代替とする。紹介記事の元和2年・1615年の表記差は留保。
桜庭信正|元服前|父未確認|陸奥国/中津軽郡|記事は1570年出生とする一方、1571年の軍事行動も載せており年代に矛盾がある。出生説を将来用仮設定にのみ用い、年代同定は未解決のまま登場を保留。津軽桜庭館の地縁を代替とする。
